city,region,bairro,property_type,loteamento,price,bedrooms,bathrooms,house_size,lot_size,sqft_above,sqft_basement,floors,waterfront,view,condition,grade,year_built,year_renovated,zipcode,lat,long
Gramado,Serra Gaúcha,Várzea Grande,Apartamento,—,3611150,1,1.0,166,166,166,0,4.0,0,1,4,6,1980,0,95677,-29.364805432787477,-50.85849810399107
Nova Prata,Serra Gaúcha,Santa Cruz,Casa,—,262330,2,1.0,72,659,72,0,1.0,0,0,2,5,1983,0,95328,-28.78984460568543,-51.64841356040475
Caxias do Sul,Serra Gaúcha,Sanvitto,Casa,—,1675876,4,3.5,194,702,194,0,2.0,0,0,5,8,1988,0,95011,-29.124731128851295,-51.218446214682764
Canela,Serra Gaúcha,Reserva da Serra,Casa,—,3436351,4,1.0,219,753,219,0,2.0,0,4,2,5,2017,0,95688,-29.371912458783118,-50.78725310592445
Gramado,Serra Gaúcha,Morada da Serra,Condomínio Residencial,—,8091258,4,3.5,345,589,345,0,1.0,0,1,4,9,2016,0,95675,-29.38803306226333,-50.882948099631264
Veranópolis,Serra Gaúcha,Renovação,Terreno,Renovação,385063,0,0.0,0,450,0,0,0.0,0,3,2,6,2017,0,95331,-28.89127883687426,-51.53850825743901
Bento Gonçalves,Serra Gaúcha,São Roque,Comercial,—,1717567,0,1.0,286,353,286,0,3.0,0,2,3,8,1997,0,95700,-29.133737441374322,-51.488272543452794
Gramado,Serra Gaúcha,Centro,Casa,—,2064073,2,1.5,95,570,95,0,1.0,0,3,5,6,2003,0,95671,-29.383914070005588,-50.90157410269768
Caxias do Sul,Serra Gaúcha,Exposição,Apartamento,—,869669,3,1.0,108,108,108,0,8.0,0,0,4,7,2006,2022,95012,-29.214665895854015,-51.15247967184669
Caxias do Sul,Serra Gaúcha,Sagrada Família,Casa,—,1328472,4,1.0,177,471,177,0,2.0,0,1,2,6,2022,0,95011,-29.198014435921426,-51.22150603242968
Bento Gonçalves,Serra Gaúcha,Charqueadas,Apartamento,—,846192,2,2.0,134,134,134,0,3.0,0,3,4,7,2017,0,95704,-29.131253612714108,-51.544271400995626
Vila Flores,Serra Gaúcha,Bairro Alto,Terreno,Residencial Horizontes,183771,0,0.0,0,430,0,0,0.0,0,2,2,3,2008,0,95340,-28.897540715045572,-51.56846393397089
Caxias do Sul,Serra Gaúcha,Santa Catarina,Apartamento,—,854848,2,2.0,100,100,100,0,6.0,0,0,4,9,1999,0,95019,-29.124476124411533,-51.12960054622768
Canela,Serra Gaúcha,Reserva da Serra,Casa,—,1308881,4,1.0,89,603,89,0,1.0,1,0,4,8,1988,0,95687,-29.404202422961003,-50.83253415828901
Veranópolis,Serra Gaúcha,Interior,Casa,—,607074,4,2.5,208,593,208,0,1.0,0,2,3,7,1974,0,95338,-28.89121594623568,-51.5214255376956
Bento Gonçalves,Serra Gaúcha,São Bento,Apartamento,—,1080383,1,2.0,177,177,177,0,12.0,0,1,5,9,2000,0,95704,-29.145629525946216,-51.559698770850666
Gramado,Serra Gaúcha,Morada da Serra,Apartamento,—,2519193,2,1.0,127,127,127,0,7.0,0,3,2,9,2009,0,95675,-29.331954141627442,-50.85278755254405
Porto Alegre,Capital,Mont'Serrat,Casa,—,997083,2,3.5,135,381,135,0,3.0,0,4,4,9,2012,0,90012,-29.988396290876118,-51.18207954270314
Farroupilha,Serra Gaúcha,Centro,Apartamento,—,939610,3,1.0,163,163,163,0,5.0,0,2,4,8,1973,0,95185,-29.253229806103366,-51.37347457492922
Caxias do Sul,Serra Gaúcha,Marechal Floriano,Casa,—,1242489,3,2.0,141,377,141,0,2.0,0,3,2,9,2014,0,95012,-29.138493402895943,-51.142963246689064
Veranópolis,Serra Gaúcha,Femaçã,Terreno,Cond. Jardim Europa,325492,0,0.0,0,1144,0,0,0.0,0,0,2,6,2007,0,95339,-28.90462743413969,-51.54469660417677
Gramado,Serra Gaúcha,Três Pinheiros,Apartamento,—,2405100,2,1.0,127,127,127,0,7.0,0,4,3,9,2000,0,95678,-29.335705563077003,-50.85791040949329
Garibaldi,Serra Gaúcha,Progresso,Casa,—,445902,4,1.0,94,312,94,0,3.0,0,0,3,5,2017,0,95721,-29.2539698824212,-51.571555379438784
Vila Flores,Serra Gaúcha,Centro,Terreno,Clube Residencial Paraíso,281027,0,0.0,0,1145,0,0,0.0,0,2,1,5,2020,0,95340,-28.831682446461215,-51.62796734473775
Nova Prata,Serra Gaúcha,Centro,Terreno,Lot. Gênova,234972,0,0.0,0,366,0,0,0.0,0,3,3,6,2021,0,95327,-28.83228972219595,-51.61321524266825
Vila Flores,Serra Gaúcha,Bairro Alto,Terreno,Residencial Horizontes,191825,0,0.0,0,480,0,0,0.0,0,3,2,6,2018,0,95336,-28.85989768327658,-51.60400657129209
Canela,Serra Gaúcha,Fontes do Ipê,Apartamento,—,2131541,1,1.0,139,139,139,0,7.0,0,0,2,9,1981,0,95685,-29.312262977777753,-50.81652886937787
Vila Flores,Serra Gaúcha,Centro,Terreno,Florescer Parque Residencial,225000,0,0.0,0,418,0,0,0.0,0,0,3,6,2025,0,95335,-28.861233442577237,-51.611114174589204
Bento Gonçalves,Serra Gaúcha,Fátima,Apartamento,—,336946,2,2.0,56,56,56,0,4.0,0,3,3,6,2021,2014,95700,-29.162354236216537,-51.5049315929256
Caxias do Sul,Serra Gaúcha,Sagrada Família,Terreno,—,1171337,0,0.0,0,623,0,0,0.0,0,1,3,6,2012,0,95014,-29.159490238838213,-51.130662850247596
Bento Gonçalves,Serra Gaúcha,Fátima,Apartamento,—,518437,1,2.0,74,74,74,0,12.0,0,1,5,7,1974,2016,95704,-29.141932687215846,-51.48006410610568
Nova Prata,Serra Gaúcha,Sagrada Família,Terreno,Sagrada Família / Centro,301311,0,0.0,0,352,0,0,0.0,0,0,1,4,2018,0,95329,-28.76799173487816,-51.62666915976428
Porto Alegre,Capital,Chácara das Pedras,Apartamento,—,1280039,3,1.0,156,156,156,0,10.0,0,0,2,7,1996,0,90016,-30.022541108411858,-51.232076736813696
Porto Alegre,Capital,Centro Histórico,Terreno,—,754174,0,0.0,0,494,0,0,0.0,0,2,3,4,1993,0,90011,-30.010947152502656,-51.219615727628614
Porto Alegre,Capital,Três Figueiras,Terreno,—,759551,0,0.0,0,397,0,0,0.0,0,1,1,6,2023,0,90014,-30.058982749563132,-51.21858304035009
Porto Alegre,Capital,Moinhos de Vento,Apartamento,—,1055781,3,2.0,145,145,145,0,10.0,0,2,4,9,1988,0,90013,-30.08102966478403,-51.237482638561524
Bento Gonçalves,Serra Gaúcha,Centro,Condomínio Residencial,—,1279172,4,2.0,149,401,149,0,3.0,0,1,5,11,2017,0,95704,-29.14809408305458,-51.5480895706559
Vila Flores,Serra Gaúcha,Centro,Terreno,Florescer Parque Residencial,320000,0,0.0,0,440,0,0,0.0,0,1,3,6,2018,0,95335,-28.869843477998764,-51.609490666301035
Porto Alegre,Capital,Mont'Serrat,Apartamento,—,588714,1,1.0,76,76,76,0,4.0,0,2,2,7,2007,0,90011,-29.99876353718967,-51.240323063275305
Gramado,Serra Gaúcha,Centro,Casa,—,2391753,3,2.5,110,452,110,0,1.0,0,2,3,7,2023,2010,95671,-29.373501887418314,-50.92398439885767
Canela,Serra Gaúcha,Reserva da Serra,Condomínio Residencial,—,2359138,4,2.5,140,427,140,0,2.0,1,3,4,12,1989,0,95686,-29.331392517707236,-50.79702573095547
Garibaldi,Serra Gaúcha,Progresso,Terreno,—,1112334,0,0.0,0,1067,0,0,0.0,0,2,1,6,2017,0,95723,-29.300996840851642,-51.48442977539287
Bento Gonçalves,Serra Gaúcha,São Bento,Casa,—,1683302,3,3.0,276,809,276,0,1.0,0,1,4,6,2014,0,95704,-29.21665369201712,-51.525582250741415
Nova Prata,Serra Gaúcha,São Cristóvão,Condomínio Residencial,—,1285620,3,2.0,284,797,270,14,1.0,0,0,4,9,2019,0,95327,-28.76338444939425,-51.62680345365605
Gramado,Serra Gaúcha,Mato Queimado,Casa,—,5532673,3,1.0,249,748,249,0,1.0,0,2,2,7,1979,0,95679,-29.374569082376407,-50.876171974302586
Gramado,Serra Gaúcha,Mato Queimado,Casa,—,5189708,2,1.0,247,600,221,26,1.0,0,4,4,8,2016,0,95673,-29.37038521783587,-50.86645675321092
Vila Flores,Serra Gaúcha,Bairro Alto,Comercial,—,649501,0,1.0,335,436,335,0,2.0,0,0,2,9,2002,0,95336,-28.909270570629342,-51.61089010157628
Caxias do Sul,Serra Gaúcha,Santa Catarina,Apartamento,—,810392,2,1.0,109,109,109,0,10.0,0,3,2,9,2004,2007,95019,-29.12573127992141,-51.134534413984284
Bento Gonçalves,Serra Gaúcha,Charqueadas,Terreno,—,847816,0,0.0,0,564,0,0,0.0,0,3,1,4,2023,0,95707,-29.172612288031477,-51.52661658000275
Nova Petrópolis,Serra Gaúcha,Linha Imperial,Casa,—,1195372,3,3.0,287,584,287,0,1.0,0,0,2,8,2004,0,95156,-29.42256170989027,-51.071288098577064
Canela,Serra Gaúcha,Industrial,Apartamento,—,1853568,1,1.0,126,126,126,0,3.0,0,1,5,7,1995,2009,95680,-29.386762830128433,-50.83009217795926
Nova Petrópolis,Serra Gaúcha,Centro,Apartamento,—,621161,1,1.0,153,153,153,0,4.0,0,0,5,6,1977,0,95155,-29.38652100355044,-51.09294146636923
Caxias do Sul,Serra Gaúcha,Marechal Floriano,Apartamento,—,1254955,2,2.0,149,149,149,0,7.0,0,4,2,8,1996,2023,95014,-29.203292156808025,-51.21395659475793
Farroupilha,Serra Gaúcha,Centro,Terreno,—,440258,0,0.0,0,328,0,0,0.0,0,1,2,4,2004,0,95181,-29.20460746250843,-51.31596340803796
Bento Gonçalves,Serra Gaúcha,São Bento,Casa,—,1274897,4,1.0,213,490,144,69,2.0,0,1,2,9,1974,0,95709,-29.201656627597078,-51.541417926217626
Porto Alegre,Capital,Chácara das Pedras,Comercial,—,679806,0,2.0,113,262,113,0,1.0,0,2,5,8,2020,2004,90016,-30.034548364695986,-51.22512383433234
Veranópolis,Serra Gaúcha,Femaçã,Terreno,Cond. Jardim Europa,346031,0,0.0,0,641,0,0,0.0,0,3,1,4,1993,0,95335,-28.968411459870033,-51.522328701721236
Nova Prata,Serra Gaúcha,Santa Cruz,Apartamento,—,418570,3,1.0,122,122,122,0,3.0,0,2,3,6,1988,0,95326,-28.786322309456583,-51.5693089471244
Veranópolis,Serra Gaúcha,Centro,Terreno,Centro (avulso),147432,0,0.0,0,352,0,0,0.0,0,3,1,4,2009,0,95338,-28.947326626487424,-51.53670353897918
Caxias do Sul,Serra Gaúcha,Centro,Casa,—,2083161,4,3.0,269,841,269,0,2.0,0,0,3,6,1984,0,95019,-29.127406639105143,-51.13267972529464
Canela,Serra Gaúcha,São José,Apartamento,—,2172635,1,1.0,152,152,152,0,5.0,0,0,2,9,1995,0,95681,-29.328372778072172,-50.7751547085247
Vila Flores,Serra Gaúcha,Linha Aimoré,Apartamento,—,374483,1,1.0,145,145,145,0,4.0,0,4,4,8,1973,0,95339,-28.885228331311993,-51.605860005490875
Nova Prata,Serra Gaúcha,Clivatti,Terreno,Lot. Clivatti I,192603,0,0.0,0,375,0,0,0.0,0,3,2,3,2005,0,95321,-28.75649850449604,-51.631456032803214
Bento Gonçalves,Serra Gaúcha,Planalto,Casa,—,1665191,4,1.5,277,419,277,0,1.0,0,4,5,7,1995,2016,95703,-29.12916187858589,-51.545279780551866
Caxias do Sul,Serra Gaúcha,Desvio Rizzo,Casa,—,955329,2,3.0,116,504,116,0,1.0,0,1,5,5,2010,0,95019,-29.121181880187763,-51.193623910971795
Vila Flores,Serra Gaúcha,Linha Aimoré,Casa,—,309238,4,2.0,134,688,134,0,3.0,0,3,4,10,1994,2005,95343,-28.910652938710875,-51.62099980977688
Porto Alegre,Capital,Centro Histórico,Apartamento,—,845769,3,1.0,108,108,108,0,5.0,0,2,2,8,2013,2004,90013,-30.041347247606396,-51.257830660427494
Nova Petrópolis,Serra Gaúcha,Pinhal Alto,Casa,—,825257,3,2.5,190,516,190,0,1.0,0,1,4,9,2013,0,95151,-29.351560470842433,-51.08662628498043
Bento Gonçalves,Serra Gaúcha,Centro,Condomínio Residencial,—,1893953,3,3.0,220,423,177,43,2.0,0,0,4,10,2006,2008,95702,-29.12197053971761,-51.539483317582025
Nova Petrópolis,Serra Gaúcha,Recanto Suíço,Casa,—,352075,4,2.5,75,515,14,61,2.0,0,2,2,8,1988,0,95158,-29.41551698280172,-51.090197555657596
Farroupilha,Serra Gaúcha,Centro,Apartamento,—,356315,1,1.0,69,69,69,0,10.0,0,2,5,8,2006,0,95181,-29.18342834164669,-51.36287198338843
Bento Gonçalves,Serra Gaúcha,Fátima,Casa,—,1741812,2,3.5,256,665,256,0,2.0,0,3,3,6,2003,2019,95703,-29.166040656406533,-51.53598025741019
Vila Flores,Serra Gaúcha,Linha Aimoré,Casa,—,399188,4,3.0,172,457,172,0,2.0,0,1,5,7,1984,0,95339,-28.829383343627754,-51.64341457770364
Caxias do Sul,Serra Gaúcha,Centro,Apartamento,—,659590,1,2.0,87,87,87,0,3.0,0,2,4,6,1984,0,95014,-29.206515965668263,-51.194841804748826
Veranópolis,Serra Gaúcha,Renovação,Condomínio Residencial,—,822385,2,2.0,224,814,172,52,3.0,0,3,5,11,1982,0,95339,-28.91669150578934,-51.52705618558288
Nova Petrópolis,Serra Gaúcha,Linha Imperial,Terreno,—,1031688,0,0.0,0,1169,0,0,0.0,0,0,2,4,2016,0,95157,-29.360318881857673,-51.11842410678894
Bento Gonçalves,Serra Gaúcha,Charqueadas,Apartamento,—,1080908,2,1.0,158,158,158,0,1.0,0,4,4,8,1988,0,95706,-29.129299173098815,-51.488373586414774
Caxias do Sul,Serra Gaúcha,Sagrada Família,Terreno,—,1674018,0,0.0,0,1096,0,0,0.0,0,3,2,5,2000,0,95018,-29.191265741278464,-51.206259174505604
Porto Alegre,Capital,Mont'Serrat,Casa,—,1776756,3,3.0,221,529,147,74,2.0,0,2,5,7,1981,0,90014,-30.00841388659203,-51.24232040104986
Canela,Serra Gaúcha,Reserva da Serra,Apartamento,—,1449427,3,1.0,113,113,113,0,8.0,0,4,4,8,1991,0,95688,-29.340098984593258,-50.86216518609357
Veranópolis,Serra Gaúcha,Interior,Apartamento,—,242932,2,1.0,78,78,78,0,7.0,0,4,5,8,1975,0,95336,-28.97172799440551,-51.57710405788653
Caxias do Sul,Serra Gaúcha,Sanvitto,Terreno,—,1161621,0,0.0,0,772,0,0,0.0,0,2,3,4,2008,0,95014,-29.14905039510299,-51.19753358654491
Nova Petrópolis,Serra Gaúcha,Pinhal Alto,Terreno,—,426632,0,0.0,0,360,0,0,0.0,0,3,2,3,2002,0,95158,-29.36606926717711,-51.11237597394462
Gramado,Serra Gaúcha,Três Pinheiros,Apartamento,—,2576989,3,2.0,135,135,135,0,1.0,0,2,3,7,1988,0,95677,-29.344626803119354,-50.88146105078563
Porto Alegre,Capital,Cristal,Apartamento,—,877392,1,1.0,110,110,110,0,1.0,0,2,5,10,2010,0,90018,-29.996758072344793,-51.22085740332263
Bento Gonçalves,Serra Gaúcha,Charqueadas,Casa,—,882557,2,1.0,140,374,140,0,1.0,0,3,5,5,2004,0,95703,-29.132527379199033,-51.49304098321692
Caxias do Sul,Serra Gaúcha,Sagrada Família,Casa,—,1421801,3,2.0,174,339,174,0,1.0,0,1,3,9,1989,0,95019,-29.131016960988603,-51.13316641343199
Gramado,Serra Gaúcha,Centro,Comercial,—,768037,0,2.0,48,97,48,0,1.0,0,1,3,5,1972,2015,95673,-29.42284715491735,-50.85628102743901
Veranópolis,Serra Gaúcha,Renovação,Casa,—,394669,3,1.5,129,528,94,35,2.0,0,2,5,7,2012,0,95334,-28.962388806675513,-51.5467496631064
Vila Flores,Serra Gaúcha,Centro,Apartamento,—,273982,1,1.0,115,115,115,0,4.0,0,4,2,10,1970,0,95338,-28.86473169542156,-51.56104953395192
Bento Gonçalves,Serra Gaúcha,Planalto,Casa,—,927155,3,1.0,156,747,156,0,2.0,0,4,4,9,1989,0,95705,-29.192194879952506,-51.54153775752318
Nova Prata,Serra Gaúcha,Santa Cruz,Apartamento,—,548820,1,2.0,150,150,150,0,6.0,0,2,3,7,1971,0,95323,-28.806793168065948,-51.61494750798013
Caxias do Sul,Serra Gaúcha,Desvio Rizzo,Condomínio Residencial,—,3651192,4,2.5,345,468,345,0,2.0,0,3,5,8,1979,0,95013,-29.176724713003267,-51.191811245809575
Porto Alegre,Capital,Chácara das Pedras,Terreno,—,1863009,0,0.0,0,1109,0,0,0.0,0,2,3,3,2002,0,90016,-30.031207830045215,-51.21728870116523
Porto Alegre,Capital,Menino Deus,Terreno,—,1693608,0,0.0,0,1100,0,0,0.0,0,2,2,5,2004,0,90019,-29.99238069748667,-51.242787675004315
Gramado,Serra Gaúcha,Três Pinheiros,Apartamento,—,3362581,3,2.0,179,179,179,0,7.0,1,4,3,9,2010,2012,95677,-29.34526957094498,-50.82718669973164
Porto Alegre,Capital,Chácara das Pedras,Apartamento,—,425259,1,2.0,57,57,57,0,5.0,0,3,3,10,1990,0,90014,-30.05067577292423,-51.21580292114863
Canela,Serra Gaúcha,São José,Casa,—,3793808,4,3.5,272,586,237,35,1.0,0,3,2,8,2009,2015,95680,-29.40752962284247,-50.77123601397606
Porto Alegre,Capital,Mont'Serrat,Casa,—,2287384,3,2.0,298,392,298,0,1.0,0,3,2,5,1993,2014,90019,-30.047336027445084,-51.20639280121928
Garibaldi,Serra Gaúcha,Bela Vista,Casa,—,1194587,2,2.0,245,531,245,0,2.0,0,3,4,7,1986,2001,95723,-29.287688936302885,-51.537441660431774
Canela,Serra Gaúcha,Jardim,Apartamento,—,1381697,2,1.0,92,92,92,0,5.0,0,0,5,8,1994,2017,95683,-29.397783941412712,-50.79072102586943
Nova Petrópolis,Serra Gaúcha,Recanto Suíço,Apartamento,—,218225,1,2.0,48,48,48,0,6.0,0,1,4,9,1979,0,95159,-29.390507575168755,-51.08213295328106
Canela,Serra Gaúcha,São José,Comercial,—,2088851,0,2.0,157,161,157,0,2.0,0,1,4,9,1982,0,95685,-29.407819975242504,-50.801459674893565
Gramado,Serra Gaúcha,Mato Queimado,Terreno,—,3299719,0,0.0,0,728,0,0,0.0,0,0,3,6,2005,0,95676,-29.364583245645996,-50.86111725774367
Bento Gonçalves,Serra Gaúcha,São Bento,Casa,—,1855482,2,2.0,299,433,236,63,1.0,0,3,2,9,1989,0,95704,-29.14958885771475,-51.50078543493172
Bento Gonçalves,Serra Gaúcha,Planalto,Apartamento,—,813801,3,2.0,121,121,121,0,10.0,0,2,4,10,1990,0,95708,-29.164792944253417,-51.53514811692558
Bento Gonçalves,Serra Gaúcha,Fátima,Apartamento,—,588110,2,1.0,86,86,86,0,3.0,0,1,4,7,1996,2002,95701,-29.194940900581102,-51.56706347929167
Porto Alegre,Capital,Partenon,Casa,—,505130,2,3.0,71,458,71,0,2.0,0,2,4,6,1994,0,90015,-30.058829479858165,-51.17340718585348
Porto Alegre,Capital,Centro Histórico,Casa,—,1108097,2,2.0,137,653,65,72,1.0,0,4,4,9,1979,0,90019,-30.056957150125815,-51.16933857861633
Bento Gonçalves,Serra Gaúcha,São Bento,Apartamento,—,392709,1,1.0,60,60,60,0,5.0,0,1,2,6,1989,0,95705,-29.14283847646908,-51.48933163245604
Canela,Serra Gaúcha,Centro,Apartamento,—,1426473,3,2.0,99,99,99,0,8.0,0,1,2,7,1983,0,95689,-29.375719355180614,-50.786315931440335
Farroupilha,Serra Gaúcha,Desvio Rizzo,Apartamento,—,590733,1,1.0,112,112,112,0,6.0,0,1,5,6,1986,2006,95189,-29.272392970990644,-51.384074756613835
Porto Alegre,Capital,Três Figueiras,Terreno,—,1752481,0,0.0,0,1125,0,0,0.0,0,2,3,4,2008,0,90019,-30.005877745101888,-51.20698234423432
Bento Gonçalves,Serra Gaúcha,Planalto,Terreno,—,1025432,0,0.0,0,653,0,0,0.0,0,0,1,6,1998,0,95708,-29.13346871570354,-51.470611048026676
Garibaldi,Serra Gaúcha,Bela Vista,Casa,—,1251186,4,3.0,255,600,255,0,3.0,0,0,5,9,1998,0,95724,-29.27807434877992,-51.4978086220594
Vila Flores,Serra Gaúcha,Linha Aimoré,Casa,—,347426,3,1.5,151,413,151,0,1.0,0,4,2,5,2021,2000,95343,-28.87877221615294,-51.59489379695197
Vila Flores,Serra Gaúcha,Bairro Alto,Casa,—,589733,2,1.5,241,566,241,0,2.0,0,0,5,8,1991,0,95341,-28.901261946576827,-51.61078558729857
Vila Flores,Serra Gaúcha,Bairro Alto,Apartamento,—,128633,2,1.0,49,49,49,0,5.0,0,3,3,9,1978,0,95344,-28.86699311458872,-51.60520875402114
Caxias do Sul,Serra Gaúcha,Santa Catarina,Comercial,—,545462,0,1.0,80,251,80,0,1.0,0,2,2,9,1972,0,95010,-29.191568282283374,-51.17525156358333
Caxias do Sul,Serra Gaúcha,Sanvitto,Apartamento,—,1109176,1,2.0,144,144,144,0,2.0,1,0,3,6,2022,0,95019,-29.167369512053224,-51.15480642160782
Gramado,Serra Gaúcha,Canavial,Casa,—,4259567,4,1.5,232,596,232,0,1.0,0,2,4,9,2016,0,95673,-29.34726429274242,-50.854394303355946
Porto Alegre,Capital,Cristal,Apartamento,—,1226964,1,1.0,153,153,153,0,4.0,0,3,4,10,1982,0,90016,-30.0165286187607,-51.182496547258154
Porto Alegre,Capital,Chácara das Pedras,Casa,—,1597864,3,2.0,222,436,222,0,3.0,0,3,3,5,1988,0,90011,-30.05697124229356,-51.19390091627256
Nova Petrópolis,Serra Gaúcha,Recanto Suíço,Casa,—,679477,2,2.0,141,615,141,0,2.0,0,2,5,6,1971,2021,95155,-29.380523630448536,-51.10147716609869
Nova Prata,Serra Gaúcha,Sagrada Família,Comercial,—,514184,0,1.0,194,321,194,0,2.0,0,0,5,7,2011,0,95325,-28.75935699567348,-51.56705599134977
Vila Flores,Serra Gaúcha,Bairro Alto,Casa,—,257451,2,2.0,104,212,62,42,1.0,1,3,5,5,2020,0,95338,-28.863348590359962,-51.641975978218994
Caxias do Sul,Serra Gaúcha,Exposição,Terreno,—,827878,0,0.0,0,535,0,0,0.0,0,1,1,6,1993,0,95019,-29.203666190706635,-51.19285692331001
Veranópolis,Serra Gaúcha,Interior,Casa,—,704641,2,1.5,228,789,228,0,1.0,0,4,5,7,1995,0,95337,-28.939922836544905,-51.51107999964944
Farroupilha,Serra Gaúcha,Centro,Casa,—,859554,2,2.5,140,383,140,0,3.0,0,0,2,6,2020,0,95188,-29.21357379648409,-51.37647466537603
Vila Flores,Serra Gaúcha,Centro,Terreno,Florescer Parque Residencial,325000,0,0.0,0,441,0,0,0.0,0,0,3,6,2024,0,95335,-28.873002365694852,-51.59799659744892
Canela,Serra Gaúcha,Jardim,Apartamento,—,1120262,1,1.0,86,86,86,0,3.0,0,0,5,6,2003,0,95685,-29.39325072806946,-50.822897500421554
Veranópolis,Serra Gaúcha,Medianeira,Comercial,—,976483,0,2.0,393,457,393,0,1.0,0,1,4,8,1973,2018,95331,-28.907036110239776,-51.59926520628022
Garibaldi,Serra Gaúcha,São João,Condomínio Residencial,—,1177247,3,2.5,177,754,126,51,2.0,0,0,4,10,2023,2005,95729,-29.29417899722197,-51.52910494622807
Vila Flores,Serra Gaúcha,Centro,Apartamento,—,242651,1,1.0,89,89,89,0,5.0,0,1,5,9,2017,2019,95335,-28.886469858422412,-51.56895525249547
Gramado,Serra Gaúcha,Centro,Apartamento,—,911886,3,1.0,50,50,50,0,5.0,0,0,2,6,1970,0,95674,-29.40609205920436,-50.90722211021363
Canela,Serra Gaúcha,São José,Apartamento,—,1288216,1,1.0,93,93,93,0,8.0,0,4,2,7,2008,0,95687,-29.399331087770413,-50.8191388109345
Vila Flores,Serra Gaúcha,Centro,Terreno,Florescer Parque Residencial,550000,0,0.0,0,1072,0,0,0.0,0,0,3,6,2019,0,95335,-28.8565078846123,-51.59715964846746
Bento Gonçalves,Serra Gaúcha,Fátima,Apartamento,—,1156201,1,2.0,170,170,170,0,12.0,0,1,5,10,1996,2016,95707,-29.179952176176748,-51.54769287244983
Caxias do Sul,Serra Gaúcha,Sanvitto,Casa,—,1687270,4,1.0,192,701,192,0,1.0,0,1,3,6,1982,0,95017,-29.163225818129387,-51.16769133037055
Caxias do Sul,Serra Gaúcha,São Pelegrino,Casa,—,774028,2,2.0,102,212,72,30,2.0,1,4,5,9,1976,0,95011,-29.14333494303394,-51.19975556142182
Caxias do Sul,Serra Gaúcha,Exposição,Casa,—,1544453,3,1.0,176,631,147,29,2.0,0,0,3,7,1989,0,95019,-29.126167218406604,-51.16664681411768
Porto Alegre,Capital,Mont'Serrat,Apartamento,—,786736,3,2.0,112,112,112,0,5.0,0,4,2,8,1997,0,90015,-30.01927631675288,-51.207609703047666
Bento Gonçalves,Serra Gaúcha,Charqueadas,Casa,—,470654,3,2.5,75,172,75,0,1.0,0,4,3,8,1997,0,95706,-29.142433931637857,-51.49556857762726
Veranópolis,Serra Gaúcha,Femaçã,Casa,—,375421,3,2.0,122,546,122,0,3.0,1,0,5,7,1990,0,95338,-28.898044296127097,-51.511148374294145
Bento Gonçalves,Serra Gaúcha,Fátima,Apartamento,—,1016066,3,2.0,146,146,146,0,8.0,0,1,3,10,1993,2019,95703,-29.137084746940356,-51.47341295805012
Gramado,Serra Gaúcha,Três Pinheiros,Condomínio Residencial,—,8291801,3,2.5,334,569,334,0,2.0,0,1,4,10,1975,2012,95677,-29.389990328847794,-50.90464610274398
